SampleID,Group
LN29_5,ME
LN31_2,DE
LN31_3,DE
LN31_5,DE
LN34_1,DE
LN34_3,DE
LN34_5,DE
LN41_1,DE
LN41_2,DE
LN41_3,DE
LN41_4,DE
LN41_5,DE
LN48_1,DE
LN48_2,DE
LN48_3,DE
LN48_4,DE
LN49_2,DE
LN49_3,DE
LN49_4,DE
LN49_5,DE
LN57_1,DE
LN57_2,DE
LN57_3,DE
LN57_4,DE
LN57_5,DE
LN70_1,DE
LN70_2,DE
LN70_3,DE
LN70_4,DE
NM2_1,DE
NM2_2,DE
NM2_3,DE
NM2_4,DE
NM2_5,DE
NM3_1,DE
NM3_2,DE
NM3_3,DE
NM3_4,DE
NM3_5,DE
S136_1,DE
S136_4,DE
S136_5,DE
S138_1,GE
S138_2,GE
S138_3,GE
S138_4,GE
S138_5,GE
S159_1,GP
S159_2,GP
S159_3,GP
S159_4,GP
S159_5,GP
S176_k_1,GE
S176_k_2,GE
S176_k_3,GE
S176_k_4,GE
S176_z_1,GE
S176_z_2,GE
S176_z_3,GE
S176_z_4,GE
S176_z_5,GE
S179B_1,DE
S179B_2,DE
S179B_3,DE
S179B_4,DE
S179H_1,DE
S179H_3,DE
S179H_4,DE
S181_1,ME
S181_2,ME
S181_3,ME
S181_4,ME
S181_5,ME
S182_1,GE
S182_2,GE
S182_3,GE
S182_4,GE
S182_5,GE
S183_1,DE
S183_2,DE
S183_3,DE
S183_4,DE
S183_5,DE
S184_1,DE
S184_2,DE
S184_3,DE
S184_4,DE
S184_5,DE
S185_1,DE
S185_2,DE
S185_3,DE
S185_4,DE
S187_1,GE
S187_2,GE
S187_3,GE
S187_4,GE
S187_5,GE
S187_6,GE
SC107_1,GE
SC107_2,GE
SC107_3,GE
SC107_4,GE
SC107_5,GE
SC114_1,ME
SC114_2,ME
SC114_3,ME
SC114_4,ME
SC114_5,ME
SC17_1,ME
SC17_2,ME
SC17_3,ME
SC23_1,DE
SC23_2,DE
SC23_3,DE
SC38_1,GP
SC38_2,GP
SC38_3,GP
SC38_4,GP
SC38_5,GP
SC49_1,DE
SC49_2,DE
SC49_3,DE
SC49_4,DE
SC49_5,DE
SC56_1,DE
SC56_2,DE
SC56_3,DE
SC56_4,DE
SC56_5,DE
SC59_1,DE
SC59_2,DE
SC59_3,DE
SC59_4,DE
SC62_1,DE
SC62_2,DE
SC62_3,DE
SC62_4,DE
SC62_5,DE
SC65_1,DE
SC65_2,DE
SC65_3,DE
SC65_4,DE
SC65_5,DE
SC67_1,DE
SC67_2,DE
SC67_3,DE
SC67_4,DE
SC67_5,DE
SC75_1,DE
SC75_2,DE
SC75_3,DE
SC75_4,DE
SC75_5,DE
SC77_1,DE
SC77_2,DE
SC77_3,DE
SC77_4,DE
SC77_5,DE
SC82_1,DE
SC82_2,DE
SC82_3,DE
SC82_4,DE
SC82_5,DE
SC98_1,DE
SC98_2,DE
SC98_3,DE
SC98_4,DE
SC98_5,DE
SD11_2,GE
SD11_3,GE
SD11_4,GE
SH9_1,GE
SH9_2,GE
SH9_3,GE
SH9_4,GE
SH9_5,GE
SN103_1,DE
SN103_2,DE
SN103_3,DE
SN103_4,DE
SN103_5,DE
SN108_1,DE
SN108_2,DE
SN108_3,DE
SN108_4,DE
SN108_5,DE
SN117_1,GE
SN117_2,GE
SN117_3,GE
SN117_4,GE
SN117_5,GE
SN43_1,DE
SN43_3,DE
SN43_4,DE
SN43_5,DE
SN50_3,DE
SN50_4,DE
SN50_5,DE
SN51_1,DE
SN51_3,DE
SN51_4,DE
SN51_5,DE
SN57_1,DE
SN57_2,DE
SN57_3,DE
SN57_4,DE
SN57_5,DE
SN58_1,DE
SN58_2,DE
SN58_3,DE
SN58_4,DE
SN58_5,DE
SN63_1,DE
SN63_2,DE
SN63_3,DE
SN63_4,DE
SN63_5,DE
SN70_1,GE
SN70_2,GE
SN70_3,GE
SN70_4,GE
SN70_5,GE
SN94_1,DE
SN94_2,DE
SN94_3,DE
SN94_4,DE
SN94_5,DE
X6_1,DE
X6_2,DE
X6_3,DE
