SampleID	place	p_class	Eriophyoidea_family	geographic_emarcation	longitude	latitude	heigh	bio12	bio15	bio18	bio2	bio3	bio8	plant	Relationship	Group	Zoogeographical
FJ106_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_1	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_2	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_3	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_4	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ110_5	FJ	Dicotyledoneae	Eriophyidae	Subtropical evergreen broad-leaved forest	117.0281	25.0858	340	1724	60	645	85	34	219	3	Dicotyledoneae_Eriophyidae	DED	Central China
FJ112_1	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6434	24.5206	10	1518	60	522	66	29	262	3	Dicotyledoneae_Diptilomiopidae 	DED	South China
FJ112_2	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6434	24.5206	10	1518	60	522	66	29	262	3	Dicotyledoneae_Diptilomiopidae 	DED	South China
FJ112_3	FJ	Dicotyledoneae	Diptilomiopidae 	Subtropical evergreen broad-leaved forest	117.6434	24.5206	10	1518	60	522	66	29	262	3	Dicotyledoneae_Diptilomiopidae 	DED	South China
FJ113_1	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.8305	24.9853	25	1135	57	373	61	27	232	11	Gymnospermae_Eriophyidae	GE	South China
FJ113_2	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.8305	24.9853	25	1135	57	373	61	27	232	11	Gymnospermae_Eriophyidae	GE	South China
FJ113_3	FJ	Gymnospermae	Eriophyidae	Subtropical evergreen broad-leaved forest	118.8305	24.9853	25	1135	57	373	61	27	232	11	Gymnospermae_Eriophyidae	GE	South China
